"Gene","logFC","padj","AUC"
"RGS5",-1.92660118944059,0.00439631252198018,0.875
"SMOC1",-2.92120978116105,0.00260833476938796,0.861
"VSIG10L",2.6770023559472,0.00187558774590682,0.847
"UPK1A",2.90220703632076,0.00221238130421074,0.84
"POU3F1",2.28332526727761,0.00325223148866023,0.84
"IGLON5",2.58935703944672,0.00380391271660788,0.819
"CDA",2.26893869106852,0.0028717900197984,0.799
"ALOX12B",3.69247161289605,0.00221238130421074,0.785
"TGM3",5.89667290919034,0.000138902701347107,0.653
"KRTDAP",5.41382273483695,0.00221238130421074,0.59
